<NikitaBelyh>|2012-12-21|04:43:33|0|0|0|1|0|0|0|0|0|0|0|0|0|4|0|0|Доброе утро! Конец света концом света, а работать надо. Выезжаю в Казань. - 28*C |Казань
<NikitaBelyh>|2012-12-21|09:17:00|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1|@kult_shab нет. Идея когда озвучивалась? 
<NikitaBelyh>|2012-12-21|10:28:12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Роднополисы выпустили очередной клип "Русский языг";). Смотрите 
<NikitaBelyh>|2012-12-21|10:28:32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|http://t.co/UeBqyLkk 
<NikitaBelyh>|2012-12-21|10:32:52|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|1|@dterekhov не бурчи, в радуйся за дочь 
<NikitaBelyh>|2012-12-21|10:41:51|0|0|0|1|0|0|0|0|0|0|0|0|0|2|1|0|RT @damatveev: Подписано постановление Правительства Кировской области, вводящее ночной запрет на продажу алкоголя в закусочных http://t.co/jdRYO3n0 |Кировской области
<NikitaBelyh>|2012-12-21|10:42:26|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|1|@lyana4 не полетел, а приехал. Я в Казани |Казани
<NikitaBelyh>|2012-12-21|10:42:47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|@YuryMihalich спасибо;) 
<NikitaBelyh>|2012-12-21|10:43:09|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1|@dterekhov ну давай 
<NikitaBelyh>|2012-12-21|11:27:03|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|@plushev @reka_reutova ты неправ 
<NikitaBelyh>|2012-12-21|11:53:17|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|На совещании в Казани http://t.co/g75mWQNR |Казани
<NikitaBelyh>|2012-12-21|15:59:59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|@cheranevilya @borisvesnin пообщайтесь 
<NikitaBelyh>|2012-12-21|18:14:53|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|Ну как конец света?Как сказал мудрый @RusMinnikhanov :"Конец света -для бездельников.У настоящего человека и после смерти дел на четыре дня" 
<NikitaBelyh>|2012-12-22|00:29:51|0|0|0|1|0|0|0|0|0|0|0|0|0|3|0|0|Gangnam style набрал миллиард (!!!) просмотров... Так вот ты какой, конец света ... |Так
<NikitaBelyh>|2012-12-22|11:05:06|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|@DmitryMalikov ты -слева?;) 
<NikitaBelyh>|2012-12-22|11:06:29|0|0|0|0|1|0|0|0|0|0|0|0|0|9|0|1|@torshin_ru А. П.! Все мучаюсь, о чем я хотел посмотреть в интернете из нашего разговора ? Вы -кирзу, а я что то еще? Не Кирс , не Кемь ;( 
<NikitaBelyh>|2012-12-22|11:13:44|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|@torshin_ru не ,Губаха позже 
<NikitaBelyh>|2012-12-22|17:33:19|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|@damatveev справитесь без @borisvesnin ? 
<NikitaBelyh>|2012-12-22|22:23:32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|@gabepavlov спасибо. Не употребляю совсем 
<NikitaBelyh>|2012-12-23|09:34:12|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|Утренний кофе . Калининград. Гостиница. Скоро в собор. Литургия. Хиротония. http://t.co/mQpeSPMu |Калининград
<NikitaBelyh>|2012-12-23|09:48:00|0|0|0|0|0|0|0|0|1|0|0|0|0|3|0|1|@marshswobod точно не за твой 
<NikitaBelyh>|2012-12-23|09:48:28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|@AlexeiSitnikov нового епископа 
<NikitaBelyh>|2012-12-23|16:51:04|0|1|0|0|0|0|1|0|0|0|0|0|0|3|0|0|Очень душевно получилось пообщаться с Патриархом. Пригласил его на Великорецкий крестный ход 
<NikitaBelyh>|2012-12-23|17:01:46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|@ochelysheva да 
<NikitaBelyh>|2012-12-23|17:02:36|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|@objectifpositif слышал много раз противоположное мнение 
<NikitaBelyh>|2012-12-23|17:03:18|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|@Paul_VDM нет. Впервые разговаривал 
<NikitaBelyh>|2012-12-23|17:04:17|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|1|@UndinaUna приглядывался. Нет их 
